team1;team2;number of goals team1;number of goals team2;stage
QATAR;ECUADOR;0;2;Group A
ENGLAND;IRAN;6;2;Group B
SENEGAL;NETHERLANDS;0;2;Group A
UNITED STATES;WALES;1;1;Group B
ARGENTINA;SAUDI ARABIA;1;2;Group C
DENMARK;TUNISIA;0;0;Group D
MEXICO;POLAND;0;0;Group C
FRANCE;AUSTRALIA;4;1;Group D
MOROCCO;CROATIA;0;0;Group F
GERMANY;JAPAN;1;2;Group E
SPAIN;COSTA RICA;7;0;Group E
BELGIUM;CANADA;1;0;Group F
SWITZERLAND;CAMEROON;1;0;Group G
URUGUAY;KOREA REPUBLIC;0;0;Group H
PORTUGAL;GHANA;3;2;Group H
BRAZIL;SERBIA;2;0;Group G
WALES;IRAN;0;2;Group B
QATAR;SENEGAL;1;3;Group A
NETHERLANDS;ECUADOR;1;1;Group A
ENGLAND;UNITED STATES;0;0;Group B
TUNISIA;AUSTRALIA;0;1;Group D
POLAND;SAUDI ARABIA;2;0;Group C
FRANCE;DENMARK;2;1;Group D
ARGENTINA;MEXICO;2;0;Group C
JAPAN;COSTA RICA;0;1;Group E
BELGIUM;MOROCCO;0;2;Group F
CROATIA;CANADA;4;1;Group F
SPAIN;GERMANY;1;1;Group E
CAMEROON;SERBIA;3;3;Group G
KOREA REPUBLIC;GHANA;2;3;Group H
BRAZIL;SWITZERLAND;1;0;Group G
PORTUGAL;URUGUAY;2;0;Group H
NETHERLANDS;QATAR;2;0;Group A
ECUADOR;SENEGAL;1;2;Group A
WALES;ENGLAND;0;3;Group B
IRAN;UNITED STATES;0;1;Group B
AUSTRALIA;DENMARK;1;0;Group D
TUNISIA;FRANCE;1;0;Group D
POLAND;ARGENTINA;0;2;Group C
SAUDI ARABIA;MEXICO;1;2;Group C
CROATIA;BELGIUM;0;0;Group F
CANADA;MOROCCO;1;2;Group F
JAPAN;SPAIN;2;1;Group E
COSTA RICA;GERMANY;2;4;Group E
GHANA;URUGUAY;0;2;Group H
KOREA REPUBLIC;PORTUGAL;2;1;Group H
SERBIA;SWITZERLAND;2;3;Group G
CAMEROON;BRAZIL;1;0;Group G
NETHERLANDS;UNITED STATES;3;1;Round of 16
ARGENTINA;AUSTRALIA;2;1;Round of 16
FRANCE;POLAND;3;1;Round of 16
ENGLAND;SENEGAL;3;0;Round of 16
JAPAN;CROATIA;1;1;Round of 16
BRAZIL;KOREA REPUBLIC;4;1;Round of 16
MOROCCO;SPAIN;0;0;Round of 16
PORTUGAL;SWITZERLAND;6;1;Round of 16
CROATIA;BRAZIL;1;1;Quarter-final
NETHERLANDS;ARGENTINA;2;2;Quarter-final
MOROCCO;PORTUGAL;1;0;Quarter-final
ENGLAND;FRANCE;1;2;Quarter-final
ARGENTINA;CROATIA;3;0;Semi-final
FRANCE;MOROCCO;2;0;Semi-final
CROATIA;MOROCCO;2;1;Play-off for third place
ARGENTINA;FRANCE;3;3;Final
